[datetime.date(2013, 4, 2), '4', None, '59', '59', '5', None, '6', '33', '177']
[datetime.date(2013, 4, 1), None, None, '13', '13', '2', None, '8', '16', '67']
[datetime.date(2013, 3, 31), '2', '2', '22', '22', '6', None, '16', '9', '113']
[datetime.date(2013, 3, 30), '5', '4', '28', '28', '5', None, '5', '30', '87']
[datetime.date(2013, 3, 29), '6', None, '33', '33', '12', '3', '12', '41', '219']
[datetime.date(2013, 3, 28), '5', '1', '43', '43', '3', None, '3', '28', '147']
[datetime.date(2013, 3, 27), '5', '2', '36', '36', '8', '1', '9', '21', '133']
[datetime.date(2013, 3, 26), '4', '2', '77', '77', '3', None, '3', '20', '130']
[datetime.date(2013, 3, 25), None, '2', '50', '50', '7', '1', '7', '96', '128']
[datetime.date(2013, 3, 24), '3', '1', '24', '24', '2', None, '2', '28', '70']
[datetime.date(2013, 3, 23), '3', '2', '31', '31', '7', None, '10', '27', '88']
[datetime.date(2013, 3, 22), '6', '4', '43', '43', '10', '1', '15', '19', '219']
[datetime.date(2013, 3, 21), '7', '2', '39', '39', '4', '1', '5', '23', '167']
[datetime.date(2013, 3, 20), '7', '1', '38', '38', '6', None, '7', '19', '182']
[datetime.date(2013, 3, 19), '7', '1', '38', '38', '6', None, '7', '19', '182']
[datetime.date(2013, 3, 18), '5', '2', '49', '49', '5', None, '6', '17', '133']
[datetime.date(2013, 3, 17), '3', '2', '28', '28', '5', '1', '5', '26', '76']
[datetime.date(2013, 3, 16), '3', '4', '42', '42', '5', None, '5', '30', '80']
[datetime.date(2013, 3, 15), None, '1', None, None, '4', None, '6', '33', '140']
[datetime.date(2013, 3, 14), '1', '2', '32', '32', '2', None, '2', '24', '177']
[datetime.date(2013, 3, 13), '2', '1', '43', '43', '8', '2', '8', '16', '142']
[datetime.date(2013, 3, 12), '2', '1', '43', '43', '5', '1', '4', '23', '156']
[datetime.date(2013, 3, 11), '2', '1', '46', '46', '11', None, '13', '79', '145']
[datetime.date(2013, 3, 10), '3', '6', '34', '34', None, None, None, '38', '74']
[datetime.date(2013, 3, 9), '3', '5', '40', '40', '5', None, '5', '114', '116']
[datetime.date(2013, 3, 8), '2', '2', '50', '50', '10', '1', '11', '36', '152']
[datetime.date(2013, 3, 7), None, '4', '52', '52', '18', '1', '23', '20', '155']
[datetime.date(2013, 3, 6), '5', '2', '67', '67', '11', '1', '15', '40', '152']
[datetime.date(2013, 3, 5), '2', '2', '46', '46', '6', None, '7', '26', '165']
[datetime.date(2013, 3, 4), None, None, None, None, None, None, None, None, None]
[datetime.date(2013, 3, 3), '5', '5', '25', '25', '3', None, '5', '32', '55']
[datetime.date(2013, 3, 2), '9', '3', '43', '43', '13', None, '16', '37', '74']
[datetime.date(2013, 3, 1), '8', '5', '43', '43', '15', None, '17', '22', '144']
[datetime.date(2013, 2, 28), '1', '3', '51', '51', '4', None, '5', '17', None]
[datetime.date(2013, 2, 27), '13', '1', '52', '52', '2', '1', '1', '21', '118']
[datetime.date(2013, 2, 26), '2', '3', '50', '50', '9', '1', '8', '18', '133']
[datetime.date(2013, 2, 25), '7', '3', '45', '45', '9', None, '11', '27', '116']
[datetime.date(2013, 2, 24), '8', '4', '36', '36', '2', None, '2', '23', '63']
[datetime.date(2013, 2, 23), '8', '5', '35', '35', '7', None, '7', '29', '109']
[datetime.date(2013, 2, 22), '3', '4', '52', '52', '9', '1', '10', '21', '203']
[datetime.date(2013, 2, 21), '8', '3', '43', '43', '3', None, '5', '17', '133']
[datetime.date(2013, 2, 20), '6', '1', '39', '39', '8', None, '10', '15', '228']
[datetime.date(2013, 2, 19), '5', '1', '80', '80', '11', None, '16', '13', '194']
[datetime.date(2013, 2, 18), '4', '2', '51', '51', '3', None, '4', '24', '125']
[datetime.date(2013, 2, 17), '4', '4', '23', '23', '2', '2', None, '30', '62']
[datetime.date(2013, 2, 16), '4', '3', '41', '41', '3', None, '4', '34', '126']
[datetime.date(2013, 2, 15), '6', '1', '48', '48', '8', None, '12', '32', '149']
[datetime.date(2013, 2, 14), None, None, None, None, None, None, None, None, None]
[datetime.date(2013, 2, 13), '3', '4', '40', '40', '9', None, '10', '12', '193']
[datetime.date(2013, 2, 12), '8', '3', '52', '52', '4', None, '5', '21', '155']
[datetime.date(2013, 2, 11), '8', '2', '47', '47', '8', None, '11', '18', '141']
[datetime.date(2013, 2, 10), '5', '4', '29', '29', '7', None, '9', '20', '78']
[datetime.date(2013, 2, 9), '9', '5', '47', '47', '9', '2', '9', '28', '85']
[datetime.date(2013, 2, 8), '2', '4', '40', '40', '12', None, '12', '34', '156']
[datetime.date(2013, 2, 7), '6', '1', '58', '58', '10', None, '12', '17', '202']
[datetime.date(2013, 2, 6), '6', '1', '51', '51', '9', None, '13', '15', '177']
[datetime.date(2013, 2, 5), '8', '4', '44', '44', '5', None, '5', '11', '120']
[datetime.date(2013, 2, 4), '6', '3', '59', '59', '11', None, '15', '20', '136']
[datetime.date(2013, 2, 3), '2', '1', '41', '41', '6', None, '7', '20', '115']
[datetime.date(2013, 2, 2), '3', '5', '36', '36', '9', '2', '12', '21', '102']
[datetime.date(2013, 2, 1), '3', None, '62', '62', '4', None, '5', '19', '136']
[datetime.date(2013, 1, 31), '2', '3', '54', '54', '5', None, '5', '20', '232']
[datetime.date(2013, 1, 30), '6', '7', '39', '39', '2', None, '2', '14', '164']
[datetime.date(2013, 1, 29), '6', '1', '48', '48', '5', '1', '4', '15', '150']
[datetime.date(2013, 1, 28), '4', '2', '41', '41', '11', None, '14', '11', '179']
[datetime.date(2013, 1, 27), '4', '6', '26', '26', '2', None, '2', '23', '68']
[datetime.date(2013, 1, 26), '3', '2', '39', '39', '1', None, '1', '29', '85']
[datetime.date(2013, 1, 25), '6', '4', '48', '48', '8', None, '12', '42', '144']
[datetime.date(2013, 1, 24), '3', '2', '49', '49', '4', None, '4', '17', '106']
[datetime.date(2013, 1, 23), '2', None, '26', '26', '7', None, '8', '7', '180']
[datetime.date(2013, 1, 22), '3', '1', '25', '25', '6', None, '6', '12', '134']
[datetime.date(2013, 1, 21), '5', '2', '49', '49', '11', None, '16', '11', '230']
[datetime.date(2013, 1, 20), '3', '3', '25', '25', '2', None, '4', '26', '73']
[datetime.date(2013, 1, 19), '2', '1', '41', '41', '5', None, '6', '18', '80']
[datetime.date(2013, 1, 18), '4', '2', '36', '36', '5', None, '5', '24', '190']
[datetime.date(2013, 1, 17), '4', '1', '79', '79', '4', None, '4', '17', '151']
[datetime.date(2013, 1, 16), '3', '1', '32', '32', '5', None, '11', '15', '124']
[datetime.date(2013, 1, 15), '5', '3', '31', '31', '10', None, '10', '14', '126']
[datetime.date(2013, 1, 14), '4', '3', '46', '46', '10', None, '10', '22', '141']
[datetime.date(2013, 1, 13), '4', '1', '20', '20', '1', None, '1', '22', '183']
[datetime.date(2013, 1, 12), '2', '3', '32', '32', '10', None, '11', '20', '130']
[datetime.date(2013, 1, 11), '5', '3', '49', '49', '10', '1', '10', '20', None]
[datetime.date(2013, 1, 10), '10', None, '43', '43', '8', None, '13', '22', '164']
[datetime.date(2013, 1, 9), '3', '3', '33', '33', '6', '1', '8', '14', '198']
[datetime.date(2013, 1, 8), '1', '3', '37', '37', '4', None, '4', '10', '194']
[datetime.date(2013, 1, 7), '5', '2', '60', '60', '5', None, '7', '13', '109']
[datetime.date(2013, 1, 6), '1', '5', '23', '23', '8', '1', '10', '18', '77']
[datetime.date(2013, 1, 5), '1', '2', '46', '46', '7', None, '9', '13', '64']
[datetime.date(2013, 1, 4), None, '3', '46', '46', '17', None, '23', '8', '129']
[datetime.date(2013, 1, 3), '4', '6', '39', '39', '18', '3', '19', '11', '116']
[datetime.date(2013, 1, 2), '2', '4', '50', '50', '9', '2', '9', '18', '147']
[datetime.date(2013, 1, 1), '3', '6', '32', '32', '4', '1', '5', '29', '34']
[datetime.date(2012, 12, 31), '5', '4', '56', '56', '14', '1', '17', '9', '150']
[datetime.date(2012, 12, 30), None, '4', '45', '45', '7', None, '8', '21', None]
[datetime.date(2012, 12, 29), '1', '2', '33', '33', '7', '3', '7', '10', '112']
[datetime.date(2012, 12, 28), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 12, 27), '8', '5', '43', '43', '14', '1', '14', '48', '122']
[datetime.date(2012, 12, 26), '1', '5', '32', '32', '4', None, '6', '13', '45']
[datetime.date(2012, 12, 25), '3', '1', '18', '18', '4', '1', '7', '14', '53']
[datetime.date(2012, 12, 24), '5', '3', '25', '25', '9', '3', '9', '10', '104']
[datetime.date(2012, 12, 23), '2', '2', '24', '24', '6', None, '10', '18', '148']
[datetime.date(2012, 12, 22), '4', '3', '32', '32', '8', '1', '7', '24', '109']
[datetime.date(2012, 12, 21), '4', '1', '41', '41', '8', '1', '8', '20', '144']
[datetime.date(2012, 12, 20), '1', '3', '49', '49', '7', '1', '7', '16', '163']
[datetime.date(2012, 12, 19), '6', '2', '41', '41', '8', '1', '11', '18', '130']
[datetime.date(2012, 12, 18), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 12, 17), None, None, None, None, None, None, None, None, None]
