,,,,,,,
,,,,,,,
Rok zdarzenia:<Wszystkie>,2011r.,,,,,,
,,,,,,,
,,,Liczba Zdarzen,Liczba Wypadkow,Liczba Zabitych,Liczba Rannych,Liczba Kolizji
Ogółem,,,408984,40131,4195,49616,368853
,WOJ. DOLNOŚLĄSKIE,,33636,2973,259,3980,30663
,,2011/01/01,36,3,0,3,33
,,2011/01/02,45,2,0,2,43
,,2011/01/03,86,4,1,4,82
,,2011/01/04,133,4,0,5,129
,,2011/01/05,122,4,0,5,118
,,2011/01/06,70,2,0,2,68
,,2011/01/07,88,5,1,4,83
,,2011/01/08,83,5,0,5,78
,,2011/01/09,95,7,0,7,88
,,2011/01/10,151,2,0,5,149
,,2011/01/11,129,8,0,10,121
,,2011/01/12,92,5,2,4,87
,,2011/01/13,101,0,0,0,101
,,2011/01/14,146,4,0,5,142
,,2011/01/15,96,1,0,2,95
,,2011/01/16,79,3,1,2,76
,,2011/01/17,183,13,2,15,170
,,2011/01/18,95,1,1,0,94
,,2011/01/19,103,5,1,10,98
,,2011/01/20,122,3,0,3,119
,,2011/01/21,159,8,0,19,151
,,2011/01/22,90,5,0,6,85
,,2011/01/23,67,1,0,1,66
,,2011/01/24,117,9,0,29,108
,,2011/01/25,94,5,0,7,89
,,2011/01/26,138,7,1,7,131
,,2011/01/27,116,2,1,5,114
,,2011/01/28,88,7,0,10,81
,,2011/01/29,71,5,0,11,66
,,2011/01/30,54,0,0,0,54
,,2011/01/31,99,3,0,23,96
,,2011/02/01,101,8,1,7,93
,,2011/02/02,118,11,3,16,107
,,2011/02/03,103,12,1,13,91
,,2011/02/04,109,11,1,12,98
,,2011/02/05,80,5,0,12,75
,,2011/02/06,34,5,0,9,29
,,2011/02/07,74,4,0,6,70
,,2011/02/08,90,5,0,6,85
,,2011/02/09,101,8,0,8,93
,,2011/02/10,79,6,0,9,73
,,2011/02/11,159,14,1,21,145
,,2011/02/12,81,2,0,2,79
,,2011/02/13,44,4,1,4,40
,,2011/02/14,78,1,0,1,77
,,2011/02/15,64,6,0,7,58
,,2011/02/16,74,2,0,2,72
,,2011/02/17,77,0,0,0,77
,,2011/02/18,127,10,1,10,117
,,2011/02/19,89,5,2,3,84
,,2011/02/20,49,3,1,2,46
,,2011/02/21,77,0,0,0,77
,,2011/02/22,91,7,1,14,84
,,2011/02/23,94,5,0,7,89
,,2011/02/24,105,7,2,5,98
,,2011/02/25,89,7,0,9,82
,,2011/02/26,55,4,0,5,51
,,2011/02/27,75,7,2,6,68
,,2011/02/28,112,5,0,11,107
,,2011/03/01,90,7,0,9,83
,,2011/03/02,108,6,0,6,102
,,2011/03/03,85,5,0,9,80
,,2011/03/04,99,9,0,10,90
,,2011/03/05,81,11,0,20,70
,,2011/03/06,47,5,0,5,42
,,2011/03/07,89,7,1,6,82
,,2011/03/08,106,13,1,14,93
,,2011/03/09,88,5,0,6,83
,,2011/03/10,108,10,0,12,98
