,,,,,,,
,,,,,,,
Rok zdarzenia:<Wszystkie>,2012r.,,,,,,
,,,,,,,
,,,Liczba Zdarzen,Liczba Wypadkow,Liczba Zabitych,Liczba Rannych,Liczba Kolizji
Ogółem,,,377668,37059,3574,45804,340609
,WOJ. DOLNOŚLĄSKIE,,31741,3218,239,4268,28523
,,2012/01/01,32,2,0,2,30
,,2012/01/02,83,8,2,8,75
,,2012/01/03,90,8,1,10,82
,,2012/01/04,72,12,0,16,60
,,2012/01/05,131,21,0,28,110
,,2012/01/06,44,3,0,3,41
,,2012/01/07,74,8,2,10,66
,,2012/01/08,59,2,0,2,57
,,2012/01/09,104,10,2,11,94
,,2012/01/10,103,10,1,10,93
,,2012/01/11,87,10,0,11,77
,,2012/01/12,81,7,1,9,74
,,2012/01/13,117,5,1,4,112
,,2012/01/14,93,11,1,15,82
,,2012/01/15,40,4,0,6,36
,,2012/01/16,83,5,1,6,78
,,2012/01/17,124,10,0,14,114
,,2012/01/18,73,6,0,6,67
,,2012/01/19,108,7,0,16,101
,,2012/01/20,115,4,0,4,111
,,2012/01/21,59,4,1,5,55
,,2012/01/22,53,3,0,6,50
,,2012/01/23,84,5,0,5,79
,,2012/01/24,81,9,0,14,72
,,2012/01/25,68,5,0,8,63
,,2012/01/26,70,7,0,7,63
,,2012/01/27,85,6,0,6,79
,,2012/01/28,63,4,0,5,59
,,2012/01/29,39,3,0,4,36
,,2012/01/30,71,1,0,3,70
,,2012/01/31,72,4,0,4,68
,,2012/02/01,79,6,0,7,73
,,2012/02/02,83,6,0,7,77
,,2012/02/03,98,4,1,3,94
,,2012/02/04,63,7,0,8,56
,,2012/02/05,62,5,0,6,57
,,2012/02/06,93,2,0,3,91
,,2012/02/07,75,8,0,8,67
,,2012/02/08,92,3,0,3,89
,,2012/02/09,150,9,0,20,141
,,2012/02/10,130,7,4,17,123
,,2012/02/11,83,8,0,11,75
,,2012/02/12,70,6,1,8,64
,,2012/02/13,96,11,1,13,85
,,2012/02/14,107,10,2,11,97
,,2012/02/15,237,17,1,49,220
,,2012/02/16,114,8,0,18,106
,,2012/02/17,98,5,0,5,93
,,2012/02/18,64,7,0,10,57
,,2012/02/19,50,4,1,7,46
,,2012/02/20,86,10,1,11,76
,,2012/02/21,72,3,0,5,69
,,2012/02/22,68,3,1,3,65
,,2012/02/23,83,8,0,8,75
,,2012/02/24,90,9,1,8,81
,,2012/02/25,47,6,0,11,41
,,2012/02/26,82,6,0,7,76
,,2012/02/27,86,5,1,7,81
,,2012/02/28,99,13,0,16,86
,,2012/02/29,99,11,1,15,88
,,2012/03/01,98,8,0,12,90
,,2012/03/02,72,5,1,4,67
,,2012/03/03,89,11,0,19,78
,,2012/03/04,49,8,2,11,41
,,2012/03/05,103,14,0,28,89
,,2012/03/06,75,6,1,6,69
,,2012/03/07,85,5,1,8,80
,,2012/03/08,128,13,1,16,115
,,2012/03/09,99,6,0,12,93
,,2012/03/10,62,7,0,9,55
,,2012/03/11,52,4,1,24,48
,,2012/03/12,96,11,0,13,85
,,2012/03/13,66,3,0,3,63
,,2012/03/14,60,4,0,8,56
,,2012/03/15,73,7,1,9,66
,,2012/03/16,86,16,0,24,70
,,2012/03/17,67,10,2,9,57
,,2012/03/18,46,8,3,12,38
,,2012/03/19,85,7,0,16,78
,,2012/03/20,98,9,0,10,89
,,2012/03/21,71,8,0,8,63
,,2012/03/22,63,7,0,10,56
,,2012/03/23,99,7,0,8,92
,,2012/03/24,72,7,0,12,65
,,2012/03/25,51,11,0,26,40
,,2012/03/26,95,7,2,5,88
,,2012/03/27,74,9,2,12,65
,,2012/03/28,83,17,0,20,66
,,2012/03/29,104,2,0,2,102
,,2012/03/30,92,6,1,5,86
,,2012/03/31,104,11,1,12,93
,,2012/04/01,44,7,0,9,37
,,2012/04/02,95,13,0,17,82
,,2012/04/03,87,13,1,14,74
,,2012/04/04,78,3,0,4,75
,,2012/04/05,74,7,2,10,67
,,2012/04/06,87,8,2,11,79
,,2012/04/07,51,2,0,6,49
,,2012/04/08,44,3,0,6,41
,,2012/04/09,46,4,1,6,42
,,2012/04/10,78,8,1,13,70
,,2012/04/11,73,6,0,8,67
,,2012/04/12,130,10,0,12,120
,,2012/04/13,90,6,0,8,84
,,2012/04/14,76,9,7,11,67
,,2012/04/15,79,8,1,9,71
,,2012/04/16,112,7,0,10,105
,,2012/04/17,97,8,1,13,89
,,2012/04/18,68,2,0,3,66
,,2012/04/19,78,6,1,14,72
,,2012/04/20,110,7,0,13,103
,,2012/04/21,80,9,2,10,71
,,2012/04/22,38,8,0,10,30
,,2012/04/23,100,5,1,5,95
,,2012/04/24,84,8,1,12,76
,,2012/04/25,87,7,2,12,80
,,2012/04/26,87,2,0,2,85
,,2012/04/27,114,10,0,10,104
,,2012/04/28,92,15,0,19,77
,,2012/04/29,60,11,3,18,49
,,2012/04/30,116,7,0,11,109
,,2012/05/01,51,6,0,6,45
,,2012/05/02,71,7,0,15,64
,,2012/05/03,56,4,0,6,52
,,2012/05/04,88,6,0,8,82
,,2012/05/05,59,7,0,10,52
,,2012/05/06,44,3,0,3,41
,,2012/05/07,79,8,1,10,71
,,2012/05/08,84,8,0,8,76
,,2012/05/09,71,5,1,5,66
,,2012/05/10,81,2,0,3,79
,,2012/05/11,91,4,0,6,87
,,2012/05/12,96,9,1,10,87
,,2012/05/13,40,1,0,1,39
,,2012/05/14,92,5,0,5,87
,,2012/05/15,90,10,0,12,80
,,2012/05/16,91,6,0,6,85
,,2012/05/17,102,7,0,10,95
,,2012/05/18,118,16,1,18,102
,,2012/05/19,77,5,0,10,72
,,2012/05/20,79,10,0,12,69
,,2012/05/21,73,7,1,8,66
,,2012/05/22,103,11,1,10,92
,,2012/05/23,93,11,0,21,82
,,2012/05/24,96,10,1,11,86
,,2012/05/25,103,18,1,33,85
,,2012/05/26,72,7,0,8,65
,,2012/05/27,58,7,1,8,51
,,2012/05/28,91,4,0,7,87
,,2012/05/29,77,9,2,9,68
,,2012/05/30,72,4,1,6,68
,,2012/05/31,96,7,0,10,89
,,2012/06/01,119,5,0,5,114
,,2012/06/02,74,5,0,5,69
,,2012/06/03,70,7,0,11,63
,,2012/06/04,81,7,2,8,74
,,2012/06/05,97,9,1,15,88
,,2012/06/06,116,11,0,12,105
,,2012/06/07,46,10,2,14,36
,,2012/06/08,92,9,0,9,83
,,2012/06/09,63,8,2,8,55
,,2012/06/10,65,10,1,13,55
,,2012/06/11,86,6,1,11,80
,,2012/06/12,100,8,0,11,92
,,2012/06/13,89,6,0,9,83
