,,,,,,,
,,,,,,,
Rok zdarzenia:<Wszystkie>,2013r.,,,,,,
,,,,,,,
,,,Liczba Zdarzen,Liczba Wypadkow,Liczba Zabitych,Liczba Rannych,Liczba Kolizji
Ogółem,,,59653,4057,388,4962,55596
,WOJ. DOLNOŚLĄSKIE,,5313,420,24,530,4893
,,2013/01/01,38,6,2,5,32
,,2013/01/02,65,10,1,10,55
,,2013/01/03,78,10,0,13,68
,,2013/01/04,71,10,0,12,61
,,2013/01/05,66,6,1,11,60
,,2013/01/06,51,5,0,8,46
,,2013/01/07,79,10,1,12,69
,,2013/01/08,119,8,1,11,111
,,2013/01/09,83,9,0,12,74
,,2013/01/10,111,16,1,16,95
,,2013/01/11,193,17,1,24,176
,,2013/01/12,116,9,0,11,107
,,2013/01/13,46,3,1,3,43
,,2013/01/14,119,10,1,15,109
,,2013/01/15,74,7,0,8,67
,,2013/01/16,77,7,0,10,70
,,2013/01/17,78,1,0,1,77
,,2013/01/18,85,10,0,12,75
,,2013/01/19,74,7,0,9,67
,,2013/01/20,41,2,0,4,39
,,2013/01/21,134,8,1,8,126
,,2013/01/22,105,7,0,8,98
,,2013/01/23,94,8,0,10,86
,,2013/01/24,73,1,0,1,72
,,2013/01/25,114,3,0,3,111
,,2013/01/26,72,6,1,5,66
,,2013/01/27,40,1,0,1,39
,,2013/01/28,86,10,1,11,76
,,2013/01/29,102,13,0,16,89
,,2013/01/30,90,8,0,9,82
,,2013/01/31,75,4,0,5,71
,,2013/02/01,93,9,1,12,84
,,2013/02/02,65,6,1,9,59
,,2013/02/03,38,5,0,10,33
,,2013/02/04,92,9,0,11,83
,,2013/02/05,62,9,0,15,53
,,2013/02/06,138,7,1,7,131
,,2013/02/07,73,6,0,18,67
,,2013/02/08,107,5,1,4,102
,,2013/02/09,59,4,1,3,55
,,2013/02/10,38,6,1,9,32
,,2013/02/11,89,6,0,6,83
,,2013/02/12,261,18,1,22,243
,,2013/02/13,125,9,0,11,116
,,2013/02/14,86,7,0,9,79
,,2013/02/15,93,9,0,11,84
,,2013/02/16,88,9,0,12,79
,,2013/02/17,50,6,2,5,44
,,2013/02/18,73,4,0,4,69
,,2013/02/19,193,11,0,14,182
,,2013/02/20,140,2,0,4,138
,,2013/02/21,102,9,0,12,93
,,2013/02/22,149,7,1,10,142
,,2013/02/23,120,10,0,10,110
,,2013/02/24,34,3,0,3,31
,,2013/02/25,83,5,0,5,78
,,2013/02/26,65,5,1,6,60
,,2013/02/27,76,2,0,4,74
,,2013/02/28,72,0,0,0,72
,WOJ. KUJAWSKO-POMORSKIE,,4209,122,22,138,4087
,,2013/01/01,40,2,1,1,38
,,2013/01/02,65,1,0,1,64
,,2013/01/03,61,2,1,1,59
,,2013/01/04,57,1,0,1,56
,,2013/01/05,43,4,1,4,39
,,2013/01/06,31,2,0,2,29
,,2013/01/07,49,1,0,1,48
,,2013/01/08,76,4,0,5,72
,,2013/01/09,56,0,0,0,56
,,2013/01/10,72,3,0,4,69
,,2013/01/11,91,3,0,3,88
,,2013/01/12,76,3,0,5,73
,,2013/01/13,39,3,1,2,36
,,2013/01/14,84,2,2,0,82
,,2013/01/15,67,1,0,1,66
,,2013/01/16,70,1,0,1,69
,,2013/01/17,56,2,0,2,54
,,2013/01/18,67,3,0,3,64
,,2013/01/19,67,1,0,1,66
,,2013/01/20,43,0,0,0,43
,,2013/01/21,69,1,0,1,68
,,2013/01/22,92,3,1,2,89
,,2013/01/23,81,3,2,5,78
,,2013/01/24,70,0,0,0,70
,,2013/01/25,63,1,0,1,62
,,2013/01/26,51,1,0,1,50
,,2013/01/27,38,0,0,0,38
,,2013/01/28,61,1,0,1,60
,,2013/01/29,71,1,0,1,70
,,2013/01/30,137,3,1,4,134
,,2013/01/31,97,3,0,3,94
,,2013/02/01,136,6,1,8,130
,,2013/02/02,100,5,0,8,95
,,2013/02/03,63,1,0,1,62
,,2013/02/04,120,0,0,0,120
,,2013/02/05,112,3,4,2,109
,,2013/02/06,73,4,0,6,69
,,2013/02/07,75,2,0,2,73
,,2013/02/08,112,2,0,3,110
,,2013/02/09,53,1,0,2,52
,,2013/02/10,31,1,0,1,30
,,2013/02/11,86,3,1,2,83
,,2013/02/12,61,0,0,0,61
,,2013/02/13,128,1,0,1,127
,,2013/02/14,67,3,0,3,64
,,2013/02/15,66,1,0,2,65
,,2013/02/16,57,2,0,2,55
,,2013/02/17,44,1,0,2,43
,,2013/02/18,82,3,0,5,79
,,2013/02/19,118,2,0,2,116
,,2013/02/20,102,2,1,1,100
,,2013/02/21,70,2,1,1,68
,,2013/02/22,68,3,0,4,65
,,2013/02/23,52,3,0,5,49
,,2013/02/24,28,4,1,8,24
,,2013/02/25,70,1,0,1,69
,,2013/02/26,48,1,0,1,47
,,2013/02/27,69,7,3,6,62
,,2013/02/28,78,2,0,2,76
,WOJ. LUBELSKIE,,3134,151,32,194,2983
,,2013/01/01,28,3,1,4,25
,,2013/01/02,41,3,0,3,38
,,2013/01/03,53,2,0,2,51
,,2013/01/04,34,3,1,2,31
,,2013/01/05,32,0,0,0,32
,,2013/01/06,28,2,0,5,26
,,2013/01/07,39,2,0,4,37
,,2013/01/08,32,1,0,1,31
,,2013/01/09,41,4,1,3,37
,,2013/01/10,71,3,0,3,68
,,2013/01/11,74,5,1,5,69
,,2013/01/12,41,3,1,2,38
,,2013/01/13,41,1,0,1,40
,,2013/01/14,58,1,0,1,57
,,2013/01/15,57,5,1,5,52
