[datetime.date(2013, 4, 2), None, None, None, None, '4', '0', '8', '16', None, '751', '25', '0', '0', '1']
[datetime.date(2013, 4, 1), None, None, None, None, '3', '0', '5', '8', None, '389', '11', '2', '0', '0']
[datetime.date(2013, 3, 31), None, None, None, None, '2', '0', '4', '7', None, '329', '19', '0', '0', '0']
[datetime.date(2013, 3, 30), None, None, None, None, '3', '0', '9', '11', None, '541', '15', '0', '0', '0']
[datetime.date(2013, 3, 29), None, None, None, None, '3', '0', '4', '6', None, '617', '12', '1', '1', '2']
[datetime.date(2013, 3, 28), None, None, None, None, '2', '0', '2', '14', None, '579', '24', '0', '1', '4']
[datetime.date(2013, 3, 27), None, None, None, None, '7', '2', '10', '8', None, '506', '18', '0', '4', '3']
[datetime.date(2013, 3, 26), None, None, None, None, '2', '0', '2', '4', None, '520', '11', '2', '0', '0']
[datetime.date(2013, 3, 25), None, None, None, None, '2', '0', '2', '7', None, '467', '18', '0', '0', '1']
[datetime.date(2013, 3, 24), None, None, None, None, '2', '0', '2', '12', None, '376', '23', '4', '0', '0']
[datetime.date(2013, 3, 23), None, None, None, None, '4', '0', '4', '8', None, '547', '17', '0', '1', '4']
[datetime.date(2013, 3, 22), None, None, None, None, '4', '0', '8', '11', None, '588', '21', '0', '3', '4']
[datetime.date(2013, 3, 21), None, None, None, None, '0', '0', '0', '16', None, '627', '33', '1', '1', '5']
[datetime.date(2013, 3, 20), None, None, None, None, '3', '1', '2', '20', None, '594', '28', '0', '1', '3']
[datetime.date(2013, 3, 19), None, None, None, None, '2', '0', '2', '8', None, '468', '16', '0', '2', '3']
[datetime.date(2013, 3, 18), None, None, None, None, '1', '0', '1', '5', None, '495', '15', '0', '0', '0']
[datetime.date(2013, 3, 17), None, None, None, None, '0', '0', '0', '8', None, '443', '17', '0', '0', '0']
[datetime.date(2013, 3, 16), None, None, None, None, '0', '0', '0', '6', None, '530', '14', '0', '1', '0']
[datetime.date(2013, 3, 15), None, None, None, None, '3', '0', '6', '6', None, '521', '10', '0', '0', '2']
[datetime.date(2013, 3, 14), None, None, None, None, '12', '0', '15', '10', None, '632', '24', '0', '1', '5']
[datetime.date(2013, 3, 13), None, None, None, None, '6', '0', '8', '17', None, '565', '28', '0', '2', '4']
[datetime.date(2013, 3, 12), None, None, None, None, '1', '0', '1', '14', None, '601', '27', '0', '0', '0']
[datetime.date(2013, 3, 11), None, None, None, None, '4', '2', '5', '12', None, '570', '16', '0', '3', '1']
[datetime.date(2013, 3, 10), None, None, None, None, '3', '2', '1', '26', None, '546', '32', '0', '0', '2']
[datetime.date(2013, 3, 9), None, None, None, None, '9', '2', '19', '44', None, '576', '56', '0', '0', '1']
[datetime.date(2013, 3, 8), None, None, None, None, '6', '1', '8', '29', None, '614', '42', '0', '1', '5']
[datetime.date(2013, 3, 7), None, None, None, None, '2', '0', '3', '21', None, '592', '28', '0', '1', '6']
[datetime.date(2013, 3, 6), None, None, None, None, '3', '0', '3', '19', None, '573', '38', '1', '0', '2']
[datetime.date(2013, 3, 5), None, None, None, None, '6', '0', '7', '14', None, '567', '22', '0', '0', '1']
[datetime.date(2013, 3, 4), None, None, None, None, '4', '1', '4', '10', None, '587', '20', '0', '0', '4']
[datetime.date(2013, 3, 3), None, None, None, None, '1', '0', '3', '16', None, '470', '25', '3', '0', '4']
[datetime.date(2013, 3, 2), None, None, None, None, '6', '1', '5', '25', None, '605', '42', '2', '1', '4']
[datetime.date(2013, 3, 1), None, None, None, None, '12', '0', '14', '20', None, '641', '35', '1', '5', '1']
[datetime.date(2013, 2, 28), None, None, None, None, '4', '0', '6', '14', None, '532', '21', '0', '2', '2']
[datetime.date(2013, 2, 27), None, None, None, None, '5', '0', '5', '19', None, '592', '33', '0', '1', '0']
[datetime.date(2013, 2, 26), None, None, None, None, '2', '1', '1', '17', None, '537', '25', '0', '0', '2']
[datetime.date(2013, 2, 25), None, None, None, None, '4', '1', '4', '15', None, '511', '25', '0', '3', '2']
[datetime.date(2013, 2, 24), None, None, None, None, '2', '0', '6', '17', None, '462', '26', '0', '0', '0']
[datetime.date(2013, 2, 23), None, None, None, None, '5', '0', '5', '14', None, '525', '25', '0', '0', '1']
[datetime.date(2013, 2, 22), None, None, None, None, '2', '0', '2', '12', None, '537', '24', '0', '4', '4']
[datetime.date(2013, 2, 21), None, None, None, None, '3', '0', '4', '10', None, '460', '23', '1', '0', '2']
[datetime.date(2013, 2, 20), None, None, None, None, None, None, None, None, None, None, None, None, None, None]
[datetime.date(2013, 2, 19), None, None, None, None, '2', '0', '3', '11', None, '482', '22', '0', '1', '0']
[datetime.date(2013, 2, 18), None, None, None, None, '6', '0', '8', '15', None, '483', '21', '0', '2', '8']
[datetime.date(2013, 2, 17), None, None, None, None, '2', '0', '4', '16', None, '405', '30', '1', '1', '1']
[datetime.date(2013, 2, 16), None, None, None, None, '2', '1', '4', '21', None, '503', '34', '1', '2', '0']
[datetime.date(2013, 2, 15), None, None, None, None, '4', '0', '4', '12', None, '470', '26', '0', '0', '2']
[datetime.date(2013, 2, 14), None, None, None, None, '3', '1', '5', '10', None, '496', '22', '0', '1', '2']
[datetime.date(2013, 2, 13), None, None, None, None, '3', '0', '3', '15', None, '465', '18', '0', '0', '1']
[datetime.date(2013, 2, 12), None, None, None, None, '2', '0', '2', '14', None, '510', '25', '0', '1', '0']
[datetime.date(2013, 2, 11), None, None, None, None, '3', '0', '3', '30', None, '511', '40', '0', '1', '0']
[datetime.date(2013, 2, 10), None, None, None, None, '1', '0', '3', '21', None, '543', '25', '0', '0', '0']
[datetime.date(2013, 2, 9), None, None, None, None, '3', '0', '5', '7', None, '566', '14', '0', '0', '0']
